,YEAR,TECHNOLOGY,FUEL,EMISSION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology
177,2016,SF6_USE,,,0.057,,,,5.7e-06,5.7e-06,,,5.2977433e-06,0.057,5.7e-06,,,0.057,,1.0726315e-05,0.057,
178,2016,T5AEROSOLSIPPU,AEROSOLS,,,,,,,,,,,,,,,,,,,0.0003
179,2016,T5AEROSOLSIPPU,E5IPPUAEROSOLS,,,,,,,,,,,,,0.0003,0.0003,,,,,
180,2016,T5AEROSOLSIPPU,,,99999.0,,,,3e-08,3e-08,,,2.7882859e-08,99999.0,3e-08,,,99999.0,,5.6454288e-08,0.0003,
181,2016,T5CARBIDE_PRODIPPU,CARBIDE_PROD,,,,,,,,,,,,,,,,,,,0.0003
182,2016,T5CARBIDE_PRODIPPU,E5IPPUCARBIDE_PROD,,,,,,,,,,,,,0.0003,0.0003,,,,,
183,2016,T5CARBIDE_PRODIPPU,,,99999.0,,,,3e-08,3e-08,,,2.7882859e-08,99999.0,3e-08,,,99999.0,,5.6454288e-08,0.0003,
184,2016,T5CARBONATEIPPU,CARBONATE,,,,,,,,,,,,,,,,,,,0.0055
185,2016,T5CARBONATEIPPU,E5IPPUCARBONATE,,,,,,,,,,,,,0.0055,0.0055,,,,,
186,2016,T5CARBONATEIPPU,,,99999.0,,,,5.5e-07,5.5e-07,,,5.1118575e-07,99999.0,5.5e-07,,,99999.0,,1.0349953e-06,0.0055,
187,2016,T5CEM_PRODIND,CEM_PROD,,,,,,,,,,,,,,,,,,,1.8526
188,2016,T5CEM_PRODIND,E5INDCEM_PROD,,,,,,,,,,,,,1.8526,1.8526,,,,,
189,2016,T5CEM_PRODIND,,,99999.0,,,,0.00018526,0.00018526,,,0.00017218595,99999.0,0.00018526,,,99999.0,,0.00034862405,1.8526,
190,2016,T5FIRE_PROTIPPU,E5IPPUFIRE_PROT,,,,,,,,,,,,,0.0013,0.0013,,,,,
191,2016,T5FIRE_PROTIPPU,FIRE_PROT,,,,,,,,,,,,,,,,,,,0.0013
192,2016,T5FIRE_PROTIPPU,,,99999.0,,,,1.3e-07,1.3e-07,,,1.2082572e-07,99999.0,1.3e-07,,,99999.0,,2.4463525e-07,0.0013,
193,2016,T5FLUOR_GLASSIPPU,E5IPPUFLUOR_GLASS,,,,,,,,,,,,,0.0034,0.0034,,,,,
194,2016,T5FLUOR_GLASSIPPU,FLUOR_GLASS,,,,,,,,,,,,,,,,,,,0.0034
195,2016,T5FLUOR_GLASSIPPU,,,99999.0,,,,3.4e-07,3.4e-07,,,3.1600574e-07,99999.0,3.4e-07,,,99999.0,,6.3981526e-07,0.0034,
196,2016,T5GLASS_PRODIPPU,E5IPPUGLASS_PROD,,,,,,,,,,,,,0.0163,0.0163,,,,,
197,2016,T5GLASS_PRODIPPU,GLASS_PROD,,,,,,,,,,,,,,,,,,,0.0163
198,2016,T5GLASS_PRODIPPU,,,99999.0,,,,1.63e-06,1.63e-06,,,1.5149687e-06,99999.0,1.63e-06,,,99999.0,,3.0673496e-06,0.0163,
199,2016,T5LIME_PRODIPPU,E5IPPULIME_PROD,,,,,,,,,,,,,0.0022,0.0022,,,,,
200,2016,T5LIME_PRODIPPU,LIME_PROD,,,,,,,,,,,,,,,,,,,0.0022
201,2016,T5LIME_PRODIPPU,,,99999.0,,,,2.2e-07,2.2e-07,,,2.044743e-07,99999.0,2.2e-07,,,99999.0,,4.1399811e-07,0.0022,
202,2016,T5LUBRI_GREASEIPPU,E5IPPULUBRI_GREASE,,,,,,,,,,,,,0.0002,0.0002,,,,,
203,2016,T5LUBRI_GREASEIPPU,LUBRI_GREASE,,,,,,,,,,,,,,,,,,,0.0002
204,2016,T5LUBRI_GREASEIPPU,,,99999.0,,,,2e-08,2e-08,,,1.8588573e-08,99999.0,2e-08,,,99999.0,,3.7636192e-08,0.0002,
205,2016,T5LUBRI_OILSIPPU,E5IPPULUBRI_OILS,,,,,,,,,,,,,0.0251,0.0251,,,,,
206,2016,T5LUBRI_OILSIPPU,LUBRI_OILS,,,,,,,,,,,,,,,,,,,0.0251
207,2016,T5LUBRI_OILSIPPU,,,99999.0,,,,2.51e-06,2.51e-06,,,2.3328659e-06,99999.0,2.51e-06,,,99999.0,,4.7233421e-06,0.0251,
208,2016,T5PARAFFINIPPU,E5IPPUPARAFFIN,,,,,,,,,,,,,0.0028,0.0028,,,,,
209,2016,T5PARAFFINIPPU,PARAFFIN,,,,,,,,,,,,,,,,,,,0.0028
210,2016,T5PARAFFINIPPU,,,99999.0,,,,2.8e-07,2.8e-07,,,2.6024002e-07,99999.0,2.8e-07,,,99999.0,,5.2690669e-07,0.0028,
211,2016,T5REFR_ACIPPU,E5IPPUREFR_AC,,,,,,,,,,,,,0.6055,0.6055,,,,,
212,2016,T5REFR_ACIPPU,REFR_AC,,,,,,,,,,,,,,,,,,,0.6055
213,2016,T5REFR_ACIPPU,,,99999.0,,,,6.055e-05,6.055e-05,,,5.6276904e-05,99999.0,6.055e-05,,,99999.0,,0.00011394357,0.6055,
214,2016,T5SF6_USEIPPU,E5IPPUSF6_USE,,,,,,,,,,,,,0.057,0.057,,,,,
215,2016,T5SF6_USEIPPU,SF6_USE,,,,,,,,,,,,,,,,,,,0.057
216,2016,T5SF6_USEIPPU,,,99999.0,,,,5.7e-06,5.7e-06,,,5.2977433e-06,99999.0,5.7e-06,,,99999.0,,1.0726315e-05,0.057,
217,2016,,E5INDCEM_PROD,,,,,,,,1.8526,,,,,,,,,,,
218,2016,,E5IPPUAEROSOLS,,,,,,,,0.0003,,,,,,,,,,,
219,2016,,E5IPPUCARBIDE_PROD,,,,,,,,0.0003,,,,,,,,,,,
220,2016,,E5IPPUCARBONATE,,,,,,,,0.0055,,,,,,,,,,,
221,2016,,E5IPPUFIRE_PROT,,,,,,,,0.0013,,,,,,,,,,,
222,2016,,E5IPPUFLUOR_GLASS,,,,,,,,0.0034,,,,,,,,,,,
223,2016,,E5IPPUGLASS_PROD,,,,,,,,0.0163,,,,,,,,,,,
224,2016,,E5IPPULIME_PROD,,,,,,,,0.0022,,,,,,,,,,,
225,2016,,E5IPPULUBRI_GREASE,,,,,,,,0.0002,,,,,,,,,,,
226,2016,,E5IPPULUBRI_OILS,,,,,,,,0.0251,,,,,,,,,,,
